accession_number,title,lc_subject,lc_subject,extent,language,digital_origin,form_of_work,work_type,citation,description_standard,created_start,created_finish,created_label,created_start_qualifier,created_end_qualifier,sub_location,institution,use_restrictions,rights_holder,copyright_status,license,composer,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,collection_id,collection_title,collection_accession_number,series_name
PAMSS45-101 - PAMSS45-103,Dirge for violin and piano (violin part),http://id.loc.gov/authorities/subjects/sh85084939,http://id.loc.gov/authorities/subjects/sh85147508,1 part (4 pages),http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,http://vocab.getty.edu/aat/300026430,notated music,"[Identification of item], Mildred Couper papers, PA Mss 45. Department of Special Research Collections, UC Santa Barbara Library, University of California, Santa Barbara. ",local,1937,,,,,Department of Special Research Collections,http://id.loc.gov/vocabulary/organizations/cusb,"With the permission of Couper's family, the Library has digitized portions of the collection to facilitate scholarly research into and appreciation of her music. Couper's music is still protected by copyright and the presence of these items on the web does not absolve the user of the responsibility to secure permission for performances, recordings or other uses of these items beyond the purposes of research and study.",http://id.loc.gov/authorities/names/no93011759,http://id.loc.gov/vocabulary/preservation/copyrightStatus/cpr ,http://opaquenamespace.org/ns/rights/educational/,http://id.loc.gov/authorities/names/no93011759,dirge1.tif,dirge2.tif,dirge3.tif,dirge4.tif,,,,,,,,,,,,,,,,,,pasmss45,Mildred Couper papers,PA Mss 45,Series I: Scores
PAMSS45-104 - PAMSS45-111,"Dirge, violin and piano (score)",http://id.loc.gov/authorities/subjects/sh85084939,http://id.loc.gov/authorities/subjects/sh85147508,1 score (8 pages),http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,http://vocab.getty.edu/aat/300026427,notated music,"[Identification of item], Mildred Couper papers, PA Mss 45. Department of Special Research Collections, UC Santa Barbara Library, University of California, Santa Barbara. ",local,1937,,,,,Department of Special Research Collections,http://id.loc.gov/vocabulary/organizations/cusb,"With the permission of Couper's family, the Library has digitized portions of the collection to facilitate scholarly research into and appreciation of her music. Couper's music is still protected by copyright and the presence of these items on the web does not absolve the user of the responsibility to secure permission for performances, recordings or other uses of these items beyond the purposes of research and study.",http://id.loc.gov/authorities/names/no93011759,http://id.loc.gov/vocabulary/preservation/copyrightStatus/cpr ,http://opaquenamespace.org/ns/rights/educational/,http://id.loc.gov/authorities/names/no93011759,dirge5.tif,dirge6.tif,dirge7.tif,dirge8.tif,dirge9.tif,dirge10.tif,dirge11.tif,dirge12.tif,,,,,,,,,,,,,,pasmss45,Mildred Couper papers,PA Mss 45,Series I: Scores
PAMSS45-201 - PAMSS45-205,Rumba for two pianos (parts),http://id.loc.gov/authorities/subjects/sh85084939,http://id.loc.gov/authorities/subjects/sh85147508,2 parts (8 pages),http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,http://vocab.getty.edu/aat/300026430,notated music,"[Identification of item], Mildred Couper papers, PA Mss 45. Department of Special Research Collections, UC Santa Barbara Library, University of California, Santa Barbara. ",local,1897,1974,[circa 1897-1974],approximate,approximate,Department of Special Research Collections,http://id.loc.gov/vocabulary/organizations/cusb,"With the permission of Couper's family, the Library has digitized portions of the collection to facilitate scholarly research into and appreciation of her music. Couper's music is still protected by copyright and the presence of these items on the web does not absolve the user of the responsibility to secure permission for performances, recordings or other uses of these items beyond the purposes of research and study.",http://id.loc.gov/authorities/names/no93011759,http://id.loc.gov/vocabulary/preservation/copyrightStatus/cpr ,http://opaquenamespace.org/ns/rights/educational/,http://id.loc.gov/authorities/names/no93011759,rumba2.tif,rumba3.tif,rumba4.tif,rumba5.tif,rumba6.tif,rumba7.tif,rumba8.tif,rumba9.tif,rumba10.tif,rumba11.tif,rumba12.tif,rumba13.tif,rumba14.tif,,,,,,,,,pasmss45,Mildred Couper papers,PA Mss 45,Series I: Scores
PAMSS45-301 - PAMSS45-314,Xanadu for two pianos (score),http://id.loc.gov/authorities/subjects/sh85084939,http://id.loc.gov/authorities/subjects/sh85147508,1 score (14 pages),http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,http://vocab.getty.edu/aat/300026427,notated music,"[Identification of item], Mildred Couper papers, PA Mss 45. Department of Special Research Collections, UC Santa Barbara Library, University of California, Santa Barbara. ",local,1930,,[circa 1930],approximate,,Department of Special Research Collections,http://id.loc.gov/vocabulary/organizations/cusb,"With the permission of Couper's family, the Library has digitized portions of the collection to facilitate scholarly research into and appreciation of her music. Couper's music is still protected by copyright and the presence of these items on the web does not absolve the user of the responsibility to secure permission for performances, recordings or other uses of these items beyond the purposes of research and study.",http://id.loc.gov/authorities/names/no93011759,http://id.loc.gov/vocabulary/preservation/copyrightStatus/cpr ,http://opaquenamespace.org/ns/rights/educational/,http://id.loc.gov/authorities/names/no93011759,xanadu1.tif,xanadu2.tif,xanadu3.tif,xanadu4.tif,xanadu5.tif,xanadu6.tif,xanadu7.tif,xanadu8.tif,xanadu9.tif,xanadu10.tif,xanadu11.tif,xanadu12.tif,xanadu13.tif,xanadu14.tif,,,,,,,,pasmss45,Mildred Couper papers,PA Mss 45,Series I: Scores
PAMSS45-315 - PAMSS45-335,Xanadu for two pianos (parts),http://id.loc.gov/authorities/subjects/sh85084939,http://id.loc.gov/authorities/subjects/sh85147508,2 parts (21 pages),http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,http://vocab.getty.edu/aat/300026430,notated music,"[Identification of item], Mildred Couper papers, PA Mss 45. Department of Special Research Collections, UC Santa Barbara Library, University of California, Santa Barbara. ",local,1930,,[circa 1930],approximate,,Department of Special Research Collections,http://id.loc.gov/vocabulary/organizations/cusb,"With the permission of Couper's family, the Library has digitized portions of the collection to facilitate scholarly research into and appreciation of her music. Couper's music is still protected by copyright and the presence of these items on the web does not absolve the user of the responsibility to secure permission for performances, recordings or other uses of these items beyond the purposes of research and study.",http://id.loc.gov/authorities/names/no93011759,http://id.loc.gov/vocabulary/preservation/copyrightStatus/cpr ,http://opaquenamespace.org/ns/rights/educational/,http://id.loc.gov/authorities/names/no93011759,xanadu15.tif,xanadu16.tif,xanadu17.tif,xanadu18.tif,xanadu19.tif,xanadu20.tif,xanadu21.tif,xanadu22.tif,xanadu23.tif,xanadu24.tif,xanadu25.tif,xanadu26.tif,xanadu27.tif,xanadu28.tif,xanadu29.tif,xanadu30.tif,xanadu31.tif,xanadu32.tif,xanadu33.tif,xanadu34.tif,xanadu35.tif,pasmss45,Mildred Couper papers,PA Mss 45,Series I: Scores
