type,accession_number,title,lc_subject,lc_subject,extent,language,digital_origin,form_of_work,work_type,citation,description_standard,created_start,created_finish,created_label,created_start_qualifier,created_finish_qualifier,sub_location,institution,use_restrictions,rights_holder,copyright_status,license,composer,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,files,collection_id,collection_title,collection_accession_number,series_name
Image,PAMSS45-101 - PAMSS45-103,Dirge for violin and piano (violin part),http://id.loc.gov/authorities/subjects/sh85084939,http://id.loc.gov/authorities/subjects/sh85147508,1 part (4 pages),http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,http://vocab.getty.edu/aat/300026430,notated music,"[Identification of item], Mildred Couper papers, PA Mss 45. Department of Special Research Collections, UC Santa Barbara Library, University of California, Santa Barbara. ",local,1937,,,,,Department of Special Research Collections,http://id.loc.gov/vocabulary/organizations/cusb,"With the permission of Couper's family, the Library has digitized portions of the collection to facilitate scholarly research into and appreciation of her music. Couper's music is still protected by copyright and the presence of these items on the web does not absolve the user of the responsibility to secure permission for performances, recordings or other uses of these items beyond the purposes of research and study.",http://id.loc.gov/authorities/names/no93011759,http://id.loc.gov/vocabulary/preservation/copyrightStatus/cpr ,http://opaquenamespace.org/ns/rights/educational/,http://id.loc.gov/authorities/names/no93011759,dirge1.tif,dirge2.tif,dirge3.tif,dirge4.tif,,,,,,,,,,,,,,,,,,pasmss45,Mildred Couper papers,PA Mss 45,Series I: Scores
Collection,PA Mss 45,Mildred Couper papers,http://id.loc.gov/authorities/subjects/sh85084939,http://id.loc.gov/authorities/subjects/sh85147508,,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,http://vocab.getty.edu/aat/300026430,notated music,"[Identification of item], Mildred Couper papers, PA Mss 45. Department of Special Research Collections, UC Santa Barbara Library, University of California, Santa Barbara. ",local,1937,,,,,Department of Special Research Collections,http://id.loc.gov/vocabulary/organizations/cusb,"With the permission of Couper's family, the Library has digitized portions of the collection to facilitate scholarly research into and appreciation of her music. Couper's music is still protected by copyright and the presence of these items on the web does not absolve the user of the responsibility to secure permission for performances, recordings or other uses of these items beyond the purposes of research and study.",http://id.loc.gov/authorities/names/no93011759,http://id.loc.gov/vocabulary/preservation/copyrightStatus/cpr ,http://opaquenamespace.org/ns/rights/educational/,http://id.loc.gov/authorities/names/no93011759,dirge1.tif,dirge2.tif,dirge3.tif,dirge4.tif,,,,,,,,,,,,,,,,,,pasmss45,Mildred Couper papers,PA Mss 45,Series I: Scores
